"id","business_name","phone","business_page","category","website","address","rating"
"503887984","Central City Development Group","(213) 688-4208","https://www.yellowpages.com/los-angeles-ca/mip/central-city-development-group-503887984?lid=503887984","Real Estate Developers","https://ccdg-la.com","601 S Figueroa StLos Angeles, CA 90017",""
"547625662","IDI Logistics","(213) 330-8066","https://www.yellowpages.com/los-angeles-ca/mip/idi-logistics-547625662?lid=547625662","Real Estate Developers","https://www.idilogistics.com","601 S Figueroa StLos Angeles, CA 90017",""
"452240920","Fall Truss Group","(213) 892-6312","https://www.yellowpages.com/los-angeles-ca/mip/fall-truss-group-452240920?lid=452240920","Real Estate Developers,Home Builders","http://airea.com","700 S Flower StLos Angeles, CA 90017",""
"517448890","P E Loft & O Ico Development","(213) 627-5600","https://www.yellowpages.com/los-angeles-ca/mip/p-e-loft-o-ico-development-517448890?lid=517448890","Real Estate Developers","http://www.mtsdevelopment.com","700 S Flower StLos Angeles, CA 90017",""
"23303001","Duggan Design & Construction0","(213) 250-9830","https://www.yellowpages.com/los-angeles-ca/mip/duggan-design-construction0-23303001?lid=23303001","Real Estate Developers","","1258 W 2nd StLos Angeles, CA 90026",""
"505778851","Hughes Jenson","(213) 488-1659","https://www.yellowpages.com/los-angeles-ca/mip/hughes-jenson-505778851?lid=505778851","Real Estate Developers","http://www.jensenhughes.com","1000 Wilshire Blvd Ste 260Los Angeles, CA 90017",""
"4087179","A St Construction Co.","(213) 688-7426","https://www.yellowpages.com/los-angeles-ca/mip/a-st-construction-co-4087179?lid=4087179","Real Estate Developers","","783 Kohler StLos Angeles, CA 90021",""
"14633913","O'Donnell Atkins","(213) 412-0100","https://www.yellowpages.com/los-angeles-ca/mip/odonnell-atkins-14633913?lid=14633913","Real Estate Developers","","865 S Figueroa StLos Angeles, CA 90017",""
"512315614","City Century","(213) 265-7328","https://www.yellowpages.com/los-angeles-ca/mip/city-century-512315614?lid=512315614","Real Estate Developers","http://aegworldwide.com","865 S Figueroa StLos Angeles, CA 90017",""
"496114829","Urban Partners","(213) 437-0470","https://www.yellowpages.com/los-angeles-ca/mip/urban-partners-496114829?lid=496114829","Real Estate Developers","http://www.mackurban.com","1150 S Olive St Fl 22Los Angeles, CA 90015",""
"535632154","Eskimo Construction Inc","(213) 385-1011","https://www.yellowpages.com/los-angeles-ca/mip/eskimo-construction-inc-535632154?lid=535632154","Real Estate Developers","","150 W 12th StLos Angeles, CA 90015",""
"5389276","The Gardner Group","(213) 489-9600","https://www.yellowpages.com/los-angeles-ca/mip/the-gardner-group-5389276?lid=5389276","Real Estate Developers","","1601 E Olympic BlvdLos Angeles, CA 90021",""
"462623536","Lc2121","(213) 488-2622","https://www.yellowpages.com/los-angeles-ca/mip/lc2121-462623536?lid=462623536","Real Estate Developers","","2121 E 7th PlLos Angeles, CA 90021",""
"13610033","DogByte Development","(323) 221-7377","https://www.yellowpages.com/los-angeles-ca/mip/dogbyte-development-13610033?lid=13610033","Real Estate Developers","","612 Moulton AveLos Angeles, CA 90031",""
"542738945","Calatlantic Homes","(925) 240-0726","https://www.yellowpages.com/los-angeles-ca/mip/calatlantic-homes-542738945?lid=542738945","Real Estate Developers","http://www.getty.edu/pacificstandardtime","544 Belmont AveLos Angeles, CA 90026",""
